,genre1,genre2,style1,style2,style3,style4,style5,mood1,mood2,mood3,mood4,mood5,mood6,mood7,mood8,mood9,mood10
donny osmond,Pop/Rock,,AM Pop,Bubblegum,Contemporary Pop/Rock,Adult Contemporary,Dance-Pop,Innocent,Naive,Light,Sugary,Sweet,Carefree,Happy,Amiable/Good-Natured,Cheerful,Earnest
donovan,Pop/Rock,Folk,British Invasion,British Psychedelia,Folk-Rock,Psychedelic Pop,Psychedelic/Garage,Delicate,Dreamy,Pastoral,Trippy,Bittersweet,Carefree,Eccentric,Sprawling,Whimsical,Wistful
dorothy moore,R&B,Blues,Disco,Urban,Soul-Blues,Soul,,,,,,,,,,,
dottie west  kenny rogers,Country,Pop/Rock,Adult Contemporary,Country-Pop,Soft Rock,Urban Cowboy,AM Pop,Amiable/Good-Natured,Laid-Back/Mellow,Sentimental,Soothing,Warm,Gentle,Organic,Poignant,Soft/Quiet,Calm/Peaceful
dr buzzards original savannah band,R&B,,Disco,,,,,,,,,,,,,,
dr dre,Rap,,G-Funk,Gangsta Rap,West Coast Rap,,,Aggressive,Confident,Druggy,Street-Smart,Visceral,Boisterous,Brash,Bravado,Confrontational,Rambunctious
dr hook,Pop/Rock,,AM Pop,Contemporary Pop/Rock,Country-Rock,Soft Rock,,Laid-Back/Mellow,Sentimental,Silly,Amiable/Good-Natured,Carefree,Quirky,Cheerful,Freewheeling,Fun,Playful
dr hook  the medicine show,Pop/Rock,,AM Pop,Contemporary Pop/Rock,,,,,,,,,,,,,
dr john,Pop/Rock,R&B,New Orleans R&B,Rock & Roll,Piano Blues,,,Celebratory,Earthy,Greasy,Gritty,Organic,Passionate,Amiable/Good-Natured,Confident,Earnest,Freewheeling
drake,Rap,,Pop-Rap,Contemporary R&B,Pop,,,Searching,Thoughtful,Introspective,Brooding,Confident,Dramatic,Earnest,Energetic,Humorous,Intense
dream,Pop/Rock,,Contemporary Pop/Rock,Early Pop/Rock,Film Score,Rock & Roll,Rockabilly,Bittersweet,Poignant,Sentimental,Theatrical,Amiable/Good-Natured,Innocent,Lush,Melancholy,Romantic,Sweet
dream academy,Pop/Rock,,Alternative Pop/Rock,Alternative/Indie Rock,Dream Pop,New Wave,College Rock,Melancholy,Soft/Quiet,Bittersweet,Earnest,Ethereal,Gentle,Reflective,Elaborate,Elegant,Graceful
drs,Electronic,,Jungle/Drum'n'Bass,,,,,,,,,,,,,,
dru hill,R&B,,Contemporary R&B,Urban,,,,Lush,Passionate,Sexual,Sleazy,Brash,Bright,Gentle,Romantic,Soft/Quiet,Swaggering
duice,Pop/Rock,,,,,,,,,,,,,,,,
duncan sheik,Pop/Rock,,Adult Alternative Pop/Rock,Alternative/Indie Rock,Contemporary Pop/Rock,Contemporary Singer/Songwriter,Singer/Songwriter,Earnest,Intimate,Literate,Soothing,Gentle,Melancholy,Poignant,Reflective,Restrained,Amiable/Good-Natured
duran duran,Pop/Rock,,Dance-Pop,Dance-Rock,New Romantic,New Wave,Punk/New Wave,Brash,Dramatic,Indulgent,Swaggering,Clinical,Energetic,Sensual,Slick,Sophisticated,Atmospheric
dusty springfield,Pop/Rock,R&B,Blue-Eyed Soul,British Invasion,Pop-Soul,Early Pop/Rock,Girl Groups,Effervescent,Elegant,Melancholy,Soothing,Sophisticated,Stylish,Summery,Sweet,Bittersweet,Plaintive
dwight twilley band,Pop/Rock,,,,,,,,,,,,,,,,
e40,Rap,,West Coast Rap,G-Funk,Gangsta Rap,,,Quirky,Sophisticated,Theatrical,Tough,Whimsical,Brash,Confident,Poignant,Rowdy,Witty
eagleeye cherry,Pop/Rock,,Adult Alternative Pop/Rock,Alternative Pop/Rock,Alternative/Indie Rock,,,Freewheeling,Laid-Back/Mellow,Carefree,Passionate,Playful,,,,,
eagles,Pop/Rock,,Album Rock,Contemporary Pop/Rock,Country-Rock,Soft Rock,,Amiable/Good-Natured,Gentle,Laid-Back/Mellow,Plaintive,Poignant,Soothing,Bittersweet,Cynical/Sarcastic,Detached,Melancholy
eamon,R&B,,Contemporary R&B,Retro-Soul,,,,Angry,Cynical/Sarcastic,Gritty,Hedonistic,Reckless,Rousing,Street-Smart,Wry,Brash,Exuberant
earth wind  fire,Rap,,,,,,,,,,,,,,,,
earth wind  fire  the emotions,R&B,,Funk,Soul,Smooth Soul,Quiet Storm,Adult Contemporary R&B,Amiable/Good-Natured,Carefree,Powerful,Sensual,Smooth,Theatrical,Warm,Bright,Celebratory,Confident
echosmith,Pop/Rock,,Alternative/Indie Rock,Emo-Pop,Dance-Rock,Pop,Punk-Pop,Energetic,Passionate,Rousing,Earnest,Lively,Exuberant,Fun,Sugary,Aggressive,Cathartic
ed ames,Vocal,Country,Country-Pop,Traditional Pop,Show/Musical,,,Laid-Back/Mellow,,,,,,,,,
ed sheeran,Pop/Rock,,Contemporary Singer/Songwriter,Adult Alternative Pop/Rock,Alternative/Indie Rock,Pop,,Carefree,Passionate,Relaxed,Restrained,Smooth,Amiable/Good-Natured,Bittersweet,Bright,Confident,Earnest
eddie holman,R&B,Pop/Rock,Philly Soul,Pop-Soul,Soul,Early Pop/Rock,,,,,,,,,,,
eddie kendricks,R&B,,Motown,Soul,Smooth Soul,Disco,,Flashy,Graceful,Intimate,Passionate,Amiable/Good-Natured,Carefree,Dramatic,Earnest,Elegant,Exuberant
eddie money,Pop/Rock,,Contemporary Pop/Rock,Album Rock,Arena Rock,,,Confident,Passionate,Yearning,Fun,Hungry,Plaintive,Rollicking,Searching,Amiable/Good-Natured,Celebratory
eddie murphy,Comedy/Spoken,R&B,Comedy,Standup Comedy,Urban,Dance-Pop,Sketch Comedy,Provocative,Whimsical,Witty,Cynical/Sarcastic,Fun,Lively,Playful,Brash,Humorous,Sexual
eddie rabbitt,Country,Pop/Rock,Country-Pop,Urban Cowboy,Contemporary Pop/Rock,Soft Rock,,Amiable/Good-Natured,Calm/Peaceful,Laid-Back/Mellow,Delicate,Earnest,Gentle,Intimate,Refined,Reflective,Romantic
eddie rabbitt and crystal gayle,Country,Pop/Rock,Country-Pop,Urban Cowboy,Soft Rock,Adult Contemporary,,Amiable/Good-Natured,Intimate,Light,Relaxed,Whimsical,Gentle,Romantic,Smooth,Sweet,Yearning
eddy grant,Reggae,,Contemporary Reggae,Reggae-Pop,Club/Dance,Contemporary Pop/Rock,Dance-Pop,Boisterous,Celebratory,Energetic,Hypnotic,Poignant,Rebellious,Rousing,Street-Smart,Stylish,Summery
edens crush,Pop/Rock,Electronic,Club/Dance,Dance-Pop,Pop,Pop Idol,,Celebratory,Cheerful,Exuberant,Fun,Sentimental,Sexy,Stylish,,,
edgar winter group,Pop/Rock,,,,,,,,,,,,,,,,
edie brickell  new bohemians,Pop/Rock,,,,,,,,,,,,,,,,
edison lighthouse,Pop/Rock,,Bubblegum,AM Pop,Contemporary Pop/Rock,,,Amiable/Good-Natured,Carefree,Celebratory,Cheerful,Effervescent,Exuberant,Fun,Gleeful,Innocent,Light
edward bear,Pop/Rock,,Album Rock,AM Pop,Soft Rock,Contemporary Pop/Rock,,Amiable/Good-Natured,Bittersweet,Earnest,Gentle,Innocent,Laid-Back/Mellow,Sentimental,Smooth,Springlike,Wistful
edward maya,Pop/Rock,Electronic,Club/Dance,EDM,Alternative/Indie Rock,,,Exciting,Passionate,Bright,Ebullient,Exuberant,Lively,Technical,Angular,Celebratory,Intense
edwin hawkins singers,Religious,Classical,Gospel,Vocal Music,,,,,,,,,,,,,
edwin mccain,Pop/Rock,,Adult Alternative Pop/Rock,American Trad Rock,Contemporary Singer/Songwriter,Alternative/Indie Rock,Vocal Music,Earnest,Melancholy,Soothing,Autumnal,Bittersweet,Laid-Back/Mellow,Literate,Playful,Passionate,Plaintive
edwin starr,R&B,,Motown,Pop-Soul,Soul,Northern Soul,Psychedelic Soul,Amiable/Good-Natured,Boisterous,Brash,Carefree,Celebratory,Confident,Confrontational,Exuberant,Gritty,Gutsy
eiffel 65,Electronic,Pop/Rock,Club/Dance,Dance-Pop,Euro-Dance,Euro-Pop,,Celebratory,Energetic,Fun,Playful,Theatrical,Bright,Carefree,Exuberant,Lively,Slick
el debarge,R&B,,Adult Contemporary R&B,Contemporary R&B,Quiet Storm,,,Bright,Joyous,Opulent,Passionate,Playful,Slick,Delicate,Dramatic,Serious,Warm
electric light orchestra,Pop/Rock,,Album Rock,Art Rock,Contemporary Pop/Rock,Prog-Rock,,Ambitious,Dramatic,Elaborate,Lively,Sophisticated,Theatrical,Elegant,Searching,Slick,Sparkling
eli young band,Country,,Contemporary Country,,,,,Amiable/Good-Natured,Earnest,Earthy,Fun,Passionate,Romantic,Rousing,Sentimental,Slick,Smooth
ella henderson,Pop/Rock,,Pop Idol,,,,,Atmospheric,Confident,Intense,Mighty,Romantic,Sensual,Swaggering,Turbulent,,
elle king,Pop/Rock,,Alternative/Indie Rock,Indie Pop,Indie Rock,Retro-Rock,Alternative Country-Rock,Freewheeling,Reckless,Rousing,Street-Smart,Celebratory,Fun,Ironic,Irreverent,Playful,Raucous
ellie goulding,Pop/Rock,Electronic,Dance-Pop,Pop,EDM,Club/Dance,,Airy,Bittersweet,Delicate,Ethereal,Light,Plaintive,Shimmering,Sparkling,Stylish,Celebratory
elliott yamin,Pop/Rock,R&B,Neo-Soul,Soul,Adult Contemporary R&B,Contemporary R&B,Pop,Amiable/Good-Natured,Earnest,Laid-Back/Mellow,Romantic,Earthy,Gentle,Intimate,Soothing,Joyous,Passionate
elton john,Pop/Rock,,Adult Contemporary,Album Rock,Contemporary Pop/Rock,Rock & Roll,Singer/Songwriter,Poignant,Rollicking,Rousing,Sentimental,Carefree,Cheerful,Confident,Fun,Lively,Melancholy
elton john  kiki dee,Pop/Rock,,Adult Contemporary,Album Rock,Contemporary Pop/Rock,Rock & Roll,Singer/Songwriter,Poignant,Rollicking,Rousing,Sentimental,Carefree,Cheerful,Confident,Fun,Lively,Melancholy
elvin bishop,Pop/Rock,Blues,Blues-Rock,Modern Electric Blues,Modern Electric Chicago Blues,Regional Blues,Southern Rock,Amiable/Good-Natured,Fun,Humorous,Reverent,Rollicking,Rousing,Rowdy,Brash,Energetic,Freewheeling
elvis presley,Pop/Rock,Country,Contemporary Pop/Rock,Early Pop/Rock,Rock & Roll,Rockabilly,AM Pop,Carefree,Confident,Dramatic,Energetic,Exciting,Exuberant,Bright,Cheerful,Freewheeling,Fun
emeli sande,Pop/Rock,,Contemporary Singer/Songwriter,Adult Contemporary,Adult Contemporary R&B,,,Dramatic,Gentle,Lyrical,Passionate,Reflective,Romantic,Searching,Serious,Sophisticated,Theatrical
emf,Pop/Rock,Electronic,Alternative Dance,Alternative/Indie Rock,Dance-Pop,Dance-Rock,Punk/New Wave,Naive,Energetic,Aggressive,Brash,Confident,Rambunctious,Rousing,Celebratory,Trippy,
eminem,Rap,,Midwest Rap,Horror Rap,Hardcore Rap,,,Cynical/Sarcastic,Hostile,Irreverent,Outrageous,Provocative,Rebellious,Sardonic,Theatrical,Acerbic,Aggressive
eminem dr dre and 50 cent,Pop/Rock,,,,,,,,,,,,,,,,
en vogue,R&B,,Club/Dance,Contemporary R&B,New Jack Swing,,,Playful,Rousing,Sensual,Stylish,Romantic,Sexy,Confident,Aggressive,Brash,Fun
engelbert humperdinck,Vocal,Pop/Rock,AM Pop,Vocal Pop,Contemporary Pop/Rock,Soft Rock,Traditional Pop,Intimate,Reserved,Romantic,Soft/Quiet,Wistful,Gentle,Refined,Relaxed,Sentimental,Sweet
england dan  john ford coley,Pop/Rock,,Contemporary Pop/Rock,Singer/Songwriter,Soft Rock,AM Pop,Country-Rock,Gentle,Intimate,Laid-Back/Mellow,Earnest,Innocent,Reflective,Restrained,Wistful,Happy,Light
enigma,Electronic,New Age,Club/Dance,Ethnic Fusion,Neo-Classical,,,Calm/Peaceful,Cerebral,Delicate,Enigmatic,Nocturnal,Reflective,Eerie,Ethereal,Hypnotic,Indulgent
enrique iglesias,Latin,Pop/Rock,Latin Pop,Adult Contemporary,Latin Dance,Pop,Dance-Pop,Carefree,Earnest,Intimate,Celebratory,Romantic,Sensual,Sentimental,Stylish,Sweet,Amiable/Good-Natured
enya,New Age,International,Celtic,Celtic New Age,Contemporary Celtic,Contemporary Instrumental,Ethnic Fusion,Dreamy,Ethereal,Hypnotic,Reflective,Atmospheric,Delicate,Elegant,Intimate,Lush,Pastoral
erasure,Pop/Rock,Electronic,Alternative Dance,Alternative Pop/Rock,Alternative/Indie Rock,Club/Dance,Dance-Pop,Dramatic,Energetic,Joyous,Rousing,Bittersweet,Bright,Effervescent,Slick,Stylish,Yearning
eric benet,R&B,,Contemporary R&B,Adult Contemporary R&B,,,,Intimate,Laid-Back/Mellow,Romantic,Sensual,Sexy,Soothing,,,,
eric burdon  war,Pop/Rock,,Psychedelic/Garage,Rock & Roll,Album Rock,AM Pop,Contemporary Pop/Rock,Carefree,Indulgent,Passionate,Summery,Brash,Druggy,Earnest,Aggressive,Menacing,Pulsing
eric carmen,Pop/Rock,,Adult Contemporary,Contemporary Pop/Rock,Soft Rock,Keyboard,AM Pop,Precious,Sentimental,Poignant,Amiable/Good-Natured,Dramatic,Dreamy,Laid-Back/Mellow,Lush,Nostalgic,Rousing
eric church,Country,,Contemporary Country,Country-Rock,,,,Amiable/Good-Natured,Gentle,Bright,Innocent,Romantic,Sentimental,Summery,Sweet,Light,Warm
eric clapton,Pop/Rock,Blues,Album Rock,Blues-Rock,British Blues,Contemporary Pop/Rock,Regional Blues,Passionate,Relaxed,Rollicking,Druggy,Earnest,Hypnotic,Reverent,Rousing,Soothing,Stylish
eric weissberg  steve mandell,Country,,Bluegrass,Progressive Bluegrass,Traditional Bluegrass,,,Complex,Earnest,Organic,Poignant,Energetic,,,,,
erick sermon,Rap,,East Coast Rap,Hardcore Rap,,,,Uncompromising,Ambitious,Aggressive,Brash,Confident,Confrontational,Harsh,Menacing,Street-Smart,Tough
eruption,R&B,Electronic,Disco,Soul,Electro,,,Energetic,Exuberant,Fun,Sexy,,,,,,
erykah badu,R&B,,Alternative R&B,Neo-Soul,Adult Contemporary R&B,Contemporary R&B,,Earthy,Elegant,Intimate,Organic,Carefree,Confident,Laid-Back/Mellow,Sensual,Summery,Playful
estelle,R&B,,Contemporary R&B,British Rap,,,,Confident,Sensual,Brash,Bright,Dramatic,Dreamy,Energetic,Exuberant,Lively,Passionate
eternal,Pop/Rock,,Alternative Pop/Rock,Alternative/Indie Rock,American Underground,College Rock,Experimental Rock,Cerebral,Detached,Intense,Sprawling,Volatile,Atmospheric,Complex,Fiery,Hypnotic,Spooky
europe,Pop/Rock,,Alternative/Indie Rock,Indie Pop,,,,Pure,Tender,Agreeable,Animated,Bittersweet,Bright,Cheerful,Earnest,Energetic,Gentle
eurythmics,Pop/Rock,,Contemporary Pop/Rock,New Wave,Punk/New Wave,Synth Pop,Dance-Rock,Austere,Bright,Detached,Reserved,Restrained,Romantic,Sexy,Stylish,Brooding,Energetic
evan and jaron,Pop/Rock,Folk,Contemporary Folk,Contemporary Singer/Songwriter,Adult Alternative Pop/Rock,Alternative/Indie Rock,,Bittersweet,Calm/Peaceful,Earnest,Gentle,Literate,Playful,Reflective,Yearning,,
evanescence,Pop/Rock,,Goth Metal,Heavy Metal,Post-Grunge,Alternative Metal,,Brooding,Cathartic,Earnest,Angst-Ridden,Melancholy,Nocturnal,Searching,Bittersweet,Bleak,Cold
eve,Rap,,East Coast Rap,Hardcore Rap,,,,Brash,Aggressive,Angry,Bleak,Confident,Confrontational,Harsh,Intense,Menacing,Raucous
eve 6,Pop/Rock,,Alternative Pop/Rock,Alternative/Indie Rock,Post-Grunge,Punk-Pop,,Energetic,Rousing,Earnest,Exuberant,Playful,Rambunctious,Urgent,Aggressive,Angst-Ridden,Bittersweet
evelyn champagne king,R&B,,Contemporary R&B,Disco,Quiet Storm,Post-Disco,Club/Dance,Effervescent,Sophisticated,Tender,Warm,Yearning,Amiable/Good-Natured,Bright,Playful,Sweet,Boisterous
everclear,Pop/Rock,,Alternative Pop/Rock,Alternative Singer/Songwriter,Alternative/Indie Rock,Indie Rock,Sadcore,Sardonic,Acerbic,Angst-Ridden,Bittersweet,Brooding,Cerebral,Cynical/Sarcastic,Earnest,Gloomy,Literate
everlast,Rap,Pop/Rock,Alternative Rap,Hardcore Rap,Rap-Rock,,,Bitter,Gutsy,Acerbic,Bleak,Gloomy,Greasy,Gritty,Self-Conscious,Slick,Unsettling
every mothers son,Pop/Rock,,AM Pop,Sunshine Pop,,,,Carefree,Fun,Gleeful,Happy,Naive,Silly,Sweet,Amiable/Good-Natured,Celebratory,Cheerful
everything but the girl,Pop/Rock,Electronic,Alternative Dance,Alternative Pop/Rock,Alternative/Indie Rock,Club/Dance,Sophisti-Pop,Melancholy,Nocturnal,Poignant,Soothing,Bittersweet,Reflective,Soft/Quiet,Stylish,Autumnal,Brooding
exile,Country,Pop/Rock,Contemporary Country,Country-Pop,Country-Rock,Contemporary Pop/Rock,Soft Rock,Earnest,Plaintive,Poignant,Romantic,Sentimental,Amiable/Good-Natured,Sweet,Carefree,Fun,Gentle
expose,Pop/Rock,,Club/Dance,Dance-Pop,Freestyle,House,Adult Contemporary,Carefree,Playful,Stylish,Sweet,Cheerful,Fun,Romantic,Happy,Intimate,Sensual
extreme,Pop/Rock,,Contemporary Pop/Rock,Hard Rock,Heavy Metal,Pop-Metal,Arena Rock,Rousing,Theatrical,Wistful,Cerebral,Earnest,Energetic,Fun,Reflective,Playful,Aggressive
fabolous,Rap,,East Coast Rap,Gangsta Rap,Hardcore Rap,Pop-Rap,,Boisterous,Brash,Fun,Intense,Swaggering,Celebratory,Energetic,Hedonistic,Playful,Rousing
faith evans,R&B,,Contemporary R&B,Adult Contemporary R&B,,,,Confident,Sensual,Romantic,Sexy,Stylish,Dramatic,Earnest,Intimate,Playful,Celebratory
faith hill,Country,Pop/Rock,Contemporary Country,Country-Pop,Pop,Adult Contemporary,,Cathartic,Passionate,Amiable/Good-Natured,Sophisticated,Stylish,Confident,Laid-Back/Mellow,Organic,Refined,Sentimental
faith no more,Pop/Rock,,Alternative Metal,Alternative Pop/Rock,Alternative/Indie Rock,Hard Rock,Heavy Metal,Epic,Outrageous,Rousing,Aggressive,Brash,Energetic,Freewheeling,Quirky,Visceral,Witty
falco,Pop/Rock,,Dance-Pop,New Wave,Punk/New Wave,,,Quirky,Silly,Stylish,Boisterous,Energetic,Exuberant,Fun,Humorous,Irreverent,Playful
fall out boy,Pop/Rock,,Alternative/Indie Rock,Emo-Pop,Punk-Pop,Pop,,Energetic,Rousing,Brash,Confrontational,Earnest,Ironic,Stylish,Yearning,Aggressive,Cathartic
fancy,Rap,,Pop-Rap,,,,,Ambitious,Eccentric,Rambunctious,Street-Smart,Brash,Bravado,Celebratory,Freewheeling,Irreverent,Rollicking
fantasia,R&B,,Adult Contemporary R&B,Contemporary R&B,Pop Idol,,,Ambitious,Confident,Gutsy,Passionate,Rousing,Brash,Brassy,Bravado,Celebratory,Dramatic
far east movement,Pop/Rock,Electronic,Party Rap,Pop,,,,Pulsing,Stylish,Energetic,Extroverted,Flashy,Sexual,Slick,Dramatic,Flowing,Nocturnal
fastball,Pop/Rock,,American Trad Rock,Adult Alternative Pop/Rock,Alternative/Indie Rock,,,Amiable/Good-Natured,Freewheeling,Playful,Cerebral,Confident,Fun,Organic,Sophisticated,Stylish,Witty
fat joe,Rap,,East Coast Rap,Gangsta Rap,Hardcore Rap,Latin Rap,Pop-Rap,Confrontational,Menacing,Street-Smart,Aggressive,Angry,Bravado,Confident,Harsh,Hostile,Intense
fergie,Rap,Pop/Rock,Pop,Pop-Rap,Dance-Pop,,,Amiable/Good-Natured,Boisterous,Bright,Carefree,Celebratory,Energetic,Exuberant,Silly,Whimsical,Confident
fetty wap,Rap,,Gangsta Rap,Hardcore Rap,East Coast Rap,,,Aggressive,Energetic,Reckless,Tough,Brash,Bravado,Confident,Intense,Rebellious,Sleazy
field mob,Rap,,Dirty South,Southern Rap,,,,Amiable/Good-Natured,Whimsical,Brash,Confident,Street-Smart,,,,,
fifth harmony,Pop/Rock,,Dance-Pop,Teen Pop,Pop Idol,Pop,,Celebratory,Slick,Sparkling,Stylish,Sugary,Sweet,Lively,Playful,Boisterous,Brash
filter,Pop/Rock,,Alternative Pop/Rock,Alternative/Indie Rock,Heavy Metal,Industrial,Industrial Metal,Cathartic,Intense,Dramatic,Fiery,Provocative,Rousing,Uncompromising,Visceral,Yearning,Aggressive
fine young cannibals,Pop/Rock,R&B,Blue-Eyed Soul,Contemporary Pop/Rock,Soul,Dance-Rock,Alternative/Indie Rock,Refined,Rollicking,Dramatic,Energetic,Exuberant,Gentle,Reflective,Sweet,Celebratory,Earnest
finger eleven,Pop/Rock,,Alternative Metal,Heavy Metal,Post-Grunge,Hard Rock,,Harsh,Hostile,Menacing,Somber,Tense/Anxious,Angst-Ridden,Brooding,Energetic,Intense,Manic
firefall,Pop/Rock,,Contemporary Pop/Rock,Country-Rock,Soft Rock,Adult Contemporary,,Soft/Quiet,Soothing,Amiable/Good-Natured,Earnest,Gentle,Laid-Back/Mellow,Sentimental,Sweet,Reflective,
firehouse,Pop/Rock,,Hair Metal,Hard Rock,Heavy Metal,Pop-Metal,,Brash,Celebratory,Raucous,Confident,Exuberant,Rollicking,Rousing,Rowdy,Boisterous,Cynical/Sarcastic
five,Pop/Rock,,,,,,,Lively,Marching,Strong,Agreeable,Dreamy,Explosive,Optimistic,Positive,Romantic,Striding
five americans,Pop/Rock,,Garage Rock,Psychedelic/Garage,AM Pop,Bubblegum,Frat Rock,Amiable/Good-Natured,Exuberant,Fun,Carefree,Innocent,Rollicking,Cheerful,Confident,,
five for fighting,Pop/Rock,,Adult Alternative Pop/Rock,Alternative/Indie Rock,Alternative Pop/Rock,Contemporary Singer/Songwriter,Post-Grunge,Brooding,Elaborate,Melancholy,Reflective,Warm,Wistful,Cathartic,Poignant,Self-Conscious,Bittersweet
five man electrical band,Pop/Rock,,AM Pop,Soft Rock,Album Rock,Contemporary Pop/Rock,,Amiable/Good-Natured,Carefree,Cheerful,Earnest,Exuberant,Fun,Happy,Playful,Sentimental,Sweet
five stairsteps,R&B,,Soul,Chicago Soul,Pop-Soul,Uptown Soul,AM Pop,Fun,Gentle,Innocent,Laid-Back/Mellow,Plaintive,Reflective,Relaxed,Romantic,Smooth,Sweet
fleetwood mac,Pop/Rock,Blues,Adult Contemporary,Album Rock,Blues-Rock,British Blues,Contemporary Pop/Rock,Bittersweet,Brooding,Earnest,Plaintive,Reflective,Warm,Autumnal,Bravado,Melancholy,Poignant
flo rida,Rap,,Southern Rap,Pop,Pop-Rap,,,Celebratory,Energetic,Street-Smart,Confident,Dramatic,Hedonistic,Rowdy,Swaggering,Tough,Boisterous
floetry,R&B,,Neo-Soul,Soul,,,,Gentle,Laid-Back/Mellow,Melancholy,Elegant,Restrained,Bittersweet,Calm/Peaceful,Intimate,Poignant,Smooth
florida georgia line,Country,,Contemporary Country,Country-Pop,New Traditionalist,Neo-Traditionalist Country,,Brash,Celebratory,Amiable/Good-Natured,Confident,Energetic,Fun,Playful,Rambunctious,Rousing,Boisterous
focus,Pop/Rock,,Death Metal,Heavy Metal,Progressive Metal,,,Aggressive,Belligerent,Gloomy,Negative,Rollicking,Strong,Dramatic,Intense,Rousing,Theatrical
foghat,Pop/Rock,,Hard Rock,Boogie Rock,Arena Rock,Album Rock,Blues-Rock,Aggressive,Boisterous,Celebratory,Earnest,Earthy,Rowdy,Stylish,Bravado,Passionate,Rollicking
foo fighters,Pop/Rock,,Alternative Pop/Rock,Alternative/Indie Rock,Grunge,Post-Grunge,,Aggressive,Earnest,Energetic,Passionate,Rousing,Rowdy,Rambunctious,Cathartic,Fun,Intense
force mds,R&B,Rap,New Jack Swing,Quiet Storm,Soul,Urban,Adult Contemporary R&B,Bright,Celebratory,Sensual,Sexy,Soothing,Sparkling,Tender,Confident,Lively,Refined
foreigner,Pop/Rock,,Album Rock,Arena Rock,Contemporary Pop/Rock,Hard Rock,,Energetic,Freewheeling,Passionate,Rousing,Theatrical,Confident,Earnest,Exuberant,Fun,Rowdy
fort minor,Pop/Rock,Rap,Alternative Rap,Heavy Metal,Rap-Metal,,,Brittle,Detached,Wry,Celebratory,Exuberant,Stylish,Bright,Dramatic,Literate,Reflective
foster the people,Pop/Rock,,Indie Pop,Alternative/Indie Rock,Indie Electronic,Neo-Psychedelia,,Playful,Arid,Atmospheric,Dreamy,Hypnotic,Laid-Back/Mellow,Reflective,Smooth,,
four tops,R&B,Pop/Rock,Motown,Pop-Soul,Soul,AM Pop,Early Pop/Rock,Elegant,Energetic,Passionate,Rousing,Smooth,Soothing,Dramatic,Earnest,Gritty,Sophisticated
foxy,R&B,,Disco,,,,,Dramatic,Euphoric,Joyous,Playful,Rollicking,Rowdy,Silly,Striding,Strong,Stylish
foxy brown,Rap,,East Coast Rap,Hardcore Rap,,,,Provocative,Sexy,Confrontational,Street-Smart,Brash,Confident,Hedonistic,Humorous,Stylish,Celebratory
frank  nancy sinatra,Vocal,Jazz,Standards,Swing,Traditional Pop,Vocal Pop,Big Band,Calm/Peaceful,Confident,Elegant,Plaintive,Poignant,Soothing,Sophisticated,Brash,Intimate,Laid-Back/Mellow
frank mills,Easy Listening,Classical,Orchestral/Easy Listening,,,,,,,,,,,,,,
frank sinatra,Vocal,Jazz,Standards,Swing,Traditional Pop,Vocal Pop,Big Band,Calm/Peaceful,Confident,Elegant,Plaintive,Poignant,Soothing,Sophisticated,Brash,Intimate,Laid-Back/Mellow
frank stallone,Pop/Rock,,,,,,,,,,,,,,,,
franke and the knockouts,Pop/Rock,,Adult Contemporary,Soft Rock,,,,,,,,,,,,,
frankie j,R&B,Rap,Contemporary R&B,Adult Contemporary R&B,Adult Contemporary,Latin Pop,Pop,Amiable/Good-Natured,Confident,Earnest,Intimate,Laid-Back/Mellow,Refined,Soothing,Bittersweet,Reflective,Romantic
frankie valli,Pop/Rock,R&B,Contemporary Pop/Rock,Doo Wop,Early Pop/Rock,Teen Idols,Vocal Music,Celebratory,Exuberant,Innocent,Carefree,Fun,Happy,Naive,Raucous,Amiable/Good-Natured,Cheerful
freak nasty,Rap,,Party Rap,Southern Rap,,,,Aggressive,Animated,Boisterous,Carefree,Cartoonish,Celebratory,Confident,Visceral,Outrageous,Rambunctious
freda payne,R&B,Jazz,Soul,Pop-Soul,Smooth Soul,Vocal Jazz,AM Pop,Amiable/Good-Natured,Gentle,Intimate,Laid-Back/Mellow,Passionate,Sweet,Romantic,Sentimental,Soothing,Sensual
freddie and the dreamers,Pop/Rock,,AM Pop,British Invasion,Merseybeat,Early Pop/Rock,,Cheerful,Giddy,Happy,Joyous,Exuberant,Gleeful,Innocent,Silly,Whimsical,Playful
freddie hart,Country,,Country-Pop,Honky Tonk,Traditional Country,,,,,,,,,,,,
freddy fender,Country,Latin,Cajun,Mexican Traditions,North American Traditions,Tex-Mex,Contemporary Pop/Rock,Bittersweet,Earnest,Organic,Rollicking,Earthy,Gentle,Intimate,Reflective,Amiable/Good-Natured,Boisterous
free,Pop/Rock,,Album Rock,Blues-Rock,Hard Rock,,,Bravado,Confident,Rousing,Brash,Celebratory,Exuberant,Playful,Raucous,Sexual,Sexy
frida,Pop/Rock,R&B,Contemporary Pop/Rock,Euro-Pop,Adult Contemporary,AM Pop,Disco,Sentimental,Gentle,Playful,Precious,Theatrical,Delicate,Dreamy,Fun,Plaintive,Wistful
friend  lover,R&B,Pop/Rock,Contemporary R&B,Dance-Pop,Pop,,,Brash,Hedonistic,Outrageous,Sleazy,Slick,Stylish,Sexual,Sexy,Confident,Fun
frijid pink,Pop/Rock,,Hard Rock,Psychedelic/Garage,Detroit Rock,Blues-Rock,,,,,,,,,,,
